City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
71,Torbay,CA,47.67,-52.73,62.01,82,20,12.75,few clouds,0.0,0
72,Batemans Bay,AU,-35.72,150.18,57.0,81,100,2.98,light rain,0.11,0
73,Geraldton,AU,-28.77,114.6,53.6,37,0,24.16,clear sky,0.0,0
74,Alofi,NU,-19.06,-169.92,77.0,88,90,16.11,overcast clouds,0.0,0
75,Sao Sebastiao,BR,-23.76,-45.41,72.84,67,0,5.57,clear sky,0.0,0
76,Barrow,US,71.29,-156.79,35.6,80,90,10.29,overcast clouds,0.0,0
77,East London,ZA,-33.02,27.91,56.75,49,100,14.65,overcast clouds,0.0,0
78,Avarua,CK,-21.21,-159.78,75.2,83,100,6.93,light rain,0.2,0
79,Victoria,HK,22.29,114.16,89.01,66,22,5.99,few clouds,0.0,0
80,Praia Da Vitoria,PT,38.73,-27.07,68.0,82,40,10.56,scattered clouds,0.0,0
81,Mogadishu,SO,2.04,45.34,77.74,83,96,19.1,light rain,0.37,0
82,Jamestown,US,42.1,-79.24,72.0,77,20,12.75,few clouds,0.0,0
83,Tomatlan,MX,19.93,-105.25,85.93,73,100,4.34,overcast clouds,0.0,0
84,Saint George,US,37.1,-113.58,107.6,12,1,16.11,clear sky,0.0,0
85,Airai,TL,-8.93,125.41,68.0,78,59,5.26,broken clouds,0.0,0
86,Beira,MZ,-19.84,34.84,71.6,73,75,6.93,broken clouds,0.0,0
87,Bonthe,SL,7.53,-12.51,75.06,91,100,9.64,light rain,0.46,0
88,Hami,CN,42.8,93.45,84.96,22,19,7.61,few clouds,0.0,0
89,Lebu,CL,-37.62,-73.65,49.28,81,100,6.87,overcast clouds,0.0,0
90,Nabire,ID,-3.37,135.48,77.07,89,99,0.43,light rain,0.94,0
91,Severo-Kurilsk,RU,50.68,156.12,51.3,92,100,5.1,light rain,0.64,0
92,Medzilaborce,SK,49.27,21.9,52.0,92,100,8.01,moderate rain,3.43,0
93,Portland,US,45.52,-122.68,79.0,56,75,10.29,broken clouds,0.0,0
94,Manaure,CO,11.78,-72.44,81.43,74,100,15.3,overcast clouds,0.0,0
95,Isangel,VU,-19.55,169.27,80.6,65,40,12.75,scattered clouds,0.0,0
96,Deputatskiy,RU,69.3,139.9,71.67,37,61,9.22,broken clouds,0.0,0
97,Nikolskoye,RU,59.7,30.79,55.99,87,40,6.71,scattered clouds,0.0,0
98,Najran,SA,17.49,44.13,82.4,23,87,4.7,overcast clouds,0.0,0
99,Walvis Bay,NA,-22.96,14.51,52.0,87,0,5.82,clear sky,0.0,0
100,Tucumcari,US,35.17,-103.72,102.2,20,1,12.75,clear sky,0.0,0
101,Songjianghe,CN,42.19,127.48,77.65,60,60,1.28,broken clouds,0.0,0
102,Sitka,US,57.05,-135.33,57.2,82,75,4.7,broken clouds,0.0,0
103,Thompson,CA,55.74,-97.86,59.0,82,75,8.05,broken clouds,0.0,0
104,Yar-Sale,RU,66.83,70.83,57.81,60,100,1.54,overcast clouds,0.0,0
105,Ballina,AU,-28.87,153.57,64.99,82,90,5.82,overcast clouds,0.0,0
106,Cidreira,BR,-30.18,-50.21,56.16,87,100,3.74,light rain,0.25,0
107,Celestun,MX,20.87,-90.4,82.89,77,0,16.04,clear sky,0.0,0
108,Seydi,TM,39.48,62.91,80.06,21,0,9.6,clear sky,0.0,0
109,Hamilton,US,39.18,-84.53,68.0,82,75,11.41,moderate rain,1.91,0
110,Aklavik,CA,68.22,-135.01,60.8,36,40,2.24,scattered clouds,0.0,0
111,Kommunar,RU,59.62,30.39,55.99,87,40,6.71,scattered clouds,0.0,0
112,Huarmey,PE,-10.07,-78.15,60.62,83,51,8.1,broken clouds,0.0,0
113,Gao,ML,16.64,1.64,90.61,38,4,8.32,clear sky,0.0,0
114,Mezen,RU,65.85,44.24,56.84,97,100,9.84,moderate rain,2.15,0
115,San Rafael,AR,-34.62,-68.33,48.42,52,100,2.39,overcast clouds,0.0,0
116,Tasiilaq,GL,65.61,-37.64,41.0,86,99,13.87,overcast clouds,0.0,0
117,Kaeo,NZ,-35.1,173.78,63.0,35,36,5.01,scattered clouds,0.0,0
118,Tuatapere,NZ,-46.13,167.68,46.96,84,100,9.66,overcast clouds,0.0,0
119,Ponta Do Sol,PT,32.67,-17.1,69.01,79,0,3.98,clear sky,0.0,0
120,Tiznit,MA,29.58,-9.5,78.6,28,23,1.79,few clouds,0.0,0
121,Timra,SE,62.49,17.33,53.6,87,100,4.7,light rain,0.12,0
122,Iquitos,PE,-3.75,-73.25,77.0,88,75,4.7,broken clouds,0.0,0
123,Ancud,CL,-41.87,-73.82,39.99,93,75,3.36,broken clouds,0.0,0
124,Singaraja,ID,-8.11,115.09,80.98,68,7,3.89,clear sky,0.0,0
125,Chokurdakh,RU,70.63,147.92,68.25,46,94,8.03,overcast clouds,0.0,0
126,Ilulissat,GL,69.22,-51.1,46.4,70,100,3.76,overcast clouds,0.0,0
127,Leningradskiy,RU,69.38,178.42,47.64,58,0,17.34,clear sky,0.0,0
128,Herat,AF,34.5,62.0,64.36,38,0,6.29,clear sky,0.0,0
129,Mahebourg,MU,-20.41,57.7,69.8,73,40,14.99,scattered clouds,0.0,0
130,Praya,CV,14.92,-23.51,77.0,69,75,12.75,broken clouds,0.0,0
131,Mandalgovi,MN,45.76,106.27,70.18,41,99,12.37,overcast clouds,0.0,0
132,Laguna,US,38.42,-121.42,104.0,10,1,9.17,clear sky,0.0,0
133,Koslan,RU,63.46,48.9,61.21,95,100,9.46,light rain,0.13,0
134,Alta Floresta,BR,-9.88,-56.09,75.6,52,11,1.41,few clouds,0.0,0
135,Diamantino,BR,-14.41,-56.45,75.42,47,92,3.78,overcast clouds,0.0,0
136,Ixtapa,MX,20.7,-105.2,88.0,70,90,9.17,overcast clouds,0.0,0
137,Matale,LK,7.47,80.62,72.75,83,78,3.62,broken clouds,0.0,0
138,Georgetown,MY,5.41,100.34,77.0,94,20,3.56,few clouds,0.0,0
139,Umm Lajj,SA,25.02,37.27,81.07,76,7,4.43,clear sky,0.0,0
140,Cabedelo,BR,-6.98,-34.83,71.6,100,75,3.36,broken clouds,0.0,0
141,Provideniya,RU,64.38,-173.3,56.86,51,0,3.4,clear sky,0.0,0
142,Kysyl-Syr,RU,63.9,122.76,80.22,61,0,8.72,clear sky,0.0,0
143,Vila Franca Do Campo,PT,37.72,-25.43,68.0,72,20,5.82,few clouds,0.0,0
144,Wakkanai,JP,45.41,141.67,59.0,87,75,16.11,broken clouds,0.0,0
145,Namibe,AO,-15.2,12.15,64.4,57,0,8.43,clear sky,0.0,0
146,Vieux-Habitants,GP,16.06,-61.77,78.8,94,20,4.7,few clouds,0.0,0
147,Chumikan,RU,54.72,135.31,51.12,91,100,7.27,overcast clouds,0.0,0
148,Lompoc,US,34.64,-120.46,77.0,60,0,17.22,clear sky,0.0,0
149,Nikolsk,RU,53.72,46.07,55.6,89,0,3.06,clear sky,0.0,0
150,Port Lincoln,AU,-34.73,135.87,56.89,71,0,9.55,clear sky,0.0,0
151,Ilhabela,BR,-23.78,-45.36,73.38,67,0,5.64,clear sky,0.0,0
152,Rawson,AR,-43.3,-65.1,41.05,65,0,23.62,clear sky,0.0,0
153,North Bend,US,43.41,-124.22,69.8,56,1,8.05,clear sky,0.0,0
154,Kyzyl-Suu,KG,42.34,78.0,59.41,54,0,1.36,clear sky,0.0,0
155,Upernavik,GL,72.79,-56.15,41.18,84,11,1.61,few clouds,0.0,0
156,Bonavista,CA,48.65,-53.11,57.99,83,16,1.99,few clouds,0.0,0
157,Mandurah,AU,-32.55,115.7,53.01,59,0,3.0,clear sky,0.0,0
158,Iqaluit,CA,63.75,-68.51,41.0,93,90,2.24,light intensity drizzle,0.0,0
159,Dongsheng,CN,39.82,109.98,60.66,85,100,8.77,light rain,0.46,0
160,Butaritari,KI,3.07,172.79,84.2,74,0,15.03,clear sky,0.0,0
161,Lander,US,42.83,-108.73,93.99,10,1,12.75,clear sky,0.0,0
162,Amapa,BR,1.0,-52.0,72.48,97,4,2.39,clear sky,0.0,0
163,Nivala,FI,63.92,24.97,48.99,90,100,5.99,overcast clouds,0.0,0
164,Puerto Ayora,EC,-0.74,-90.35,66.99,94,12,4.0,few clouds,0.0,0
165,Lubango,AO,-14.92,13.49,57.31,34,1,3.22,clear sky,0.0,0
166,Bastrop,US,32.76,-91.87,93.2,66,1,5.14,clear sky,0.0,0
167,Te Anau,NZ,-45.42,167.72,49.5,75,81,2.59,broken clouds,0.0,0
168,Aden,YE,12.78,45.04,86.99,76,20,11.56,few clouds,0.0,0
